iter	RMSE
378	40186.90004
379	40165.04173
380	40153.56842
381	40137.75424
382	40105.63769
383	40080.02167
384	40061.86659
385	40037.46898
386	40011.2047
387	40004.55715
388	39986.44711
389	39950.87833
390	39938.44425
391	39933.26813
392	39924.25359
393	39907.31979
394	39872.54085
395	39856.13043
396	39834.92209
397	39811.11623
398	39794.10246
399	39783.97796
400	39757.976
401	39731.78882
402	39718.24898
403	39695.83244
404	39678.81156
405	39664.63375
406	39644.49521
407	39630.90351
408	39622.03247
409	39606.11332
410	39585.7605
411	39585.28408
412	39564.40307
413	39549.65689
414	39528.09534
415	39501.62493
416	39488.48696
417	39464.96711
418	39453.19247
419	39431.46988
420	39422.39782
421	39413.94243
422	39399.34582
423	39383.49604
424	39361.87879
425	39333.12847
426	39309.83982
427	39300.30228
428	39291.65217
429	39276.05365
430	39252.3903
431	39236.44753
432	39209.45199
433	39194.80795
434	39177.55896
435	39166.79532
436	39146.90971
437	39124.86048
438	39105.66913
439	39092.64399
440	39082.39209
441	39065.97023
442	39046.95827
443	39022.13557
444	39004.05437
445	38992.67428
446	38955.47971
447	38947.59288
448	38922.12992
449	38905.09573
450	38889.26104
451	38884.07284
452	38867.41211
453	38858.60084
454	38846.0067
455	38820.33797
456	38798.15932
457	38773.05801
458	38755.84474
459	38750.83086
460	38722.73385
461	38710.00362
462	38695.55694
463	38670.14031
464	38652.18355
465	38629.0544
466	38611.52598
467	38587.44084
468	38578.26037
469	38554.41722
470	38530.17089
471	38510.38974
472	38497.47322
473	38484.35665
474	38467.90794
475	38459.55848
476	38441.17174
477	38434.83363
478	38414.49782
479	38402.4234
480	38385.38791
481	38369.53239
482	38358.46912
483	38337.98817
484	38317.77999
485	38293.94597
486	38276.35617
487	38259.19066
488	38249.14521
489	38233.65309
490	38215.27787
491	38197.50666
492	38181.15865
493	38156.85654
494	38139.56131
495	38124.4662
496	38104.68719
497	38085.08882
498	38075.46122
499	38054.04885
500	38043.26453
501	38034.7231
502	38017.61091
503	38005.66832
504	37992.5149
505	37973.9357
506	37946.71033
507	37936.28974
508	37920.07617
509	37906.95831
510	37896.70115
511	37878.4606
512	37860.69029
513	37846.64777
514	37826.97002
515	37814.20342
516	37798.29599
517	37778.96662
518	37754.53445
519	37740.23046
520	37727.18749
521	37717.98178
522	37697.98648
523	37682.80758
524	37670.68357
525	37662.65767
526	37648.74605
527	37633.72726
528	37623.19946
529	37602.84106
530	37585.61645
531	37565.1067
532	37547.4041
533	37525.27937
534	37506.73488
535	37491.91534
536	37472.80345
537	37457.85828
538	37449.85162
539	37439.74308
540	37419.17781
541	37404.20915
542	37390.95058
543	37381.37833
544	37369.99879
545	37356.51229
546	37340.47263
547	37325.61493
548	37303.1343
549	37291.4863
550	37281.22964
551	37265.19756
552	37251.69746
553	37240.18551
554	37219.4394
555	37209.4722
556	37197.15465
557	37180.17905
558	37171.84683
559	37164.10916
560	37152.80846
561	37131.8856
562	37116.76536
563	37090.57821
564	37072.64555
565	37063.35552
566	37047.8928
567	37036.52304
568	37023.88328
569	37005.41013
570	36982.98315
571	36965.12893
572	36962.88304
573	36949.49536
574	36929.63205
575	36905.03715
576	36892.9374
577	36885.09341
578	36879.24852
579	36873.60149
580	36857.99531
581	36848.84388
582	36837.85742
583	36830.50866
584	36822.22723
585	36813.73741
586	36798.07336
587	36785.50292
588	36778.45374
589	36758.84272
590	36747.18584
591	36737.32509
592	36720.64334
593	36704.38597
594	36693.85645
595	36661.23762
596	36648.10569
597	36638.5065
598	36618.18172
599	36603.98368
600	36594.40798
601	36573.13968
602	36560.70503
603	36552.68401
604	36529.79959
605	36510.22068
606	36500.28561
607	36483.52614
608	36471.45337
609	36451.76671
610	36436.37572
611	36423.4364
612	36413.97755
613	36397.33418
614	36384.55291
615	36372.6457
616	36364.29528
617	36353.43157
618	36333.6214
619	36325.64141
620	36316.34879
621	36309.48457
622	36295.06433
623	36287.13954
624	36274.08549
625	36261.90487
626	36241.66068
627	36232.19381
628	36215.83156
629	36204.93352
630	36189.77475
631	36175.89992
632	36167.6441
633	36145.62409
634	36129.93501
635	36110.1708
636	36092.17748
637	36078.46306
638	36060.18582
639	36043.60014
640	36031.51835
641	36016.46773
642	36005.36683
643	35991.23415
644	35975.42998
645	35962.80991
646	35947.89719
647	35937.26618
648	35928.80373
649	35908.9282
650	35900.77752
651	35889.15117
652	35870.85304
653	35847.53194
654	35833.07958
655	35823.28977
656	35809.88215
657	35801.2816
658	35786.35129
659	35771.34393
660	35763.46209
661	35749.19592
662	35736.00756
663	35719.44989
664	35706.73887
665	35699.61705
666	35676.50745
667	35659.7363
668	35649.27889
669	35633.76224
670	35621.27513
671	35603.19658
672	35581.4445
673	35574.02928
674	35552.12717
675	35545.78767
676	35529.75664
677	35522.3463
678	35511.85495
679	35503.41387
680	35481.81083
681	35466.74877
682	35459.22446
683	35452.64901
684	35437.85692
685	35419.5927
686	35399.99864
687	35390.13634
688	35373.2502
689	35360.8987
690	35350.41412
691	35345.16163
692	35325.15786
693	35303.04137
694	35289.48823
695	35276.14876
696	35261.47656
697	35245.17052
698	35234.51456
699	35224.29534
700	35216.9714
701	35206.3272
702	35189.43081
703	35172.65821
704	35153.67429
705	35138.2813
706	35115.6092
707	35105.04676
708	35093.55162
709	35079.0683
710	35068.76741
711	35053.52726
712	35041.27833
713	35028.24133
714	35012.1771
715	35007.09725
716	34997.94336
717	34988.42816
718	34981.61495
719	34971.57026
720	34957.01309
721	34945.26291
722	34934.86307
723	34926.37041
724	34917.41264
725	34906.61441
726	34894.79883
727	34878.89355
728	34871.79775
729	34866.57775
730	34852.38762
731	34842.95004
732	34831.20382
733	34819.99501
734	34809.23544
735	34800.26489
736	34788.02418
737	34773.78581
738	34766.53389
739	34749.39087
740	34729.47772
741	34715.992
742	34707.15763
743	34696.15447
744	34679.91602
745	34660.57869
746	34651.28383
747	34642.37224
748	34633.33303
749	34622.1587
750	34614.4759
751	34605.65327
752	34598.96838
753	34587.89792
754	34575.3297
755	34563.26764
756	34556.78889
757	34544.33807
758	34533.19385
759	34520.60383
760	34507.81598
761	34501.73471
762	34492.62025
763	34480.98581
764	34472.78057
765	34467.3748
766	34454.68282
767	34444.51389
768	34432.74418
769	34422.00922
770	34408.84076
771	34396.97607
772	34385.94042
773	34370.77524
774	34359.01381
775	34342.3898
776	34331.77586
777	34322.5303
778	34309.75239
779	34291.27583
780	34284.37367
781	34270.79533
782	34253.31697
783	34234.77841
784	34219.93215
785	34206.08024
786	34183.1975
787	34171.67712
788	34155.16992
789	34147.25647
790	34136.84685
791	34117.14372
792	34106.49283
793	34098.87862
794	34082.937
795	34072.84048
796	34056.09397
797	34042.17053
798	34026.72111
799	34010.3707
800	34003.67446
801	33990.30859
802	33976.48537
803	33965.17742
804	33954.06916
805	33935.04789
806	33926.92749
807	33914.97149
808	33904.05905
809	33888.63765
810	33884.35127
811	33867.94903
812	33860.38969
813	33845.28522
814	33835.84918
815	33827.55714
816	33815.0089
817	33808.35616
818	33803.62513
819	33796.17621
820	33779.16929
821	33766.45714
822	33754.19099
823	33744.25082
824	33737.35052
825	33724.75705
826	33715.57578
827	33708.11543
828	33698.59511
829	33688.94953
830	33670.6159
831	33662.48872
832	33653.85303
833	33649.61998
834	33633.41024
835	33617.88385
836	33598.06865
837	33592.76261
838	33587.02658
839	33576.79267
840	33568.00786
841	33555.7785
842	33548.91592
843	33540.06492
844	33531.61784
845	33524.1988
846	33516.68026
847	33502.66228
848	33494.43276
849	33479.50628
850	33471.95541
851	33461.41136
852	33448.29179
853	33437.59564
854	33424.96131
855	33417.66215
856	33404.73186
857	33396.55996
858	33392.06608
859	33390.19435
860	33384.90368
861	33375.01579
862	33368.4374
863	33351.32159
864	33342.29073
865	33330.4725
866	33314.96734
867	33304.87841
868	33297.25072
869	33282.825
870	33270.55653
871	33257.647
872	33248.02767
873	33240.93
874	33234.14315
875	33221.25276
876	33212.01661
877	33207.52381
878	33187.2068
879	33177.56485
880	33166.54989
881	33158.38451
882	33156.27126
883	33147.37386
884	33140.27973
885	33133.52484
886	33123.00498
887	33111.95397
888	33099.72658
889	33083.49853
890	33074.85595
891	33067.11141
892	33060.87209
893	33053.33866
894	33040.76003
895	33029.16537
896	33012.7696
897	33009.55484
898	32996.27542
899	32987.91426
900	32978.91007
901	32965.33693
902	32956.46098
903	32952.08231
904	32946.03849
905	32939.71967
906	32930.45854
907	32926.13349
908	32915.54664
909	32898.39961
910	32879.34822
911	32865.73392
912	32850.85893
913	32841.01734
914	32829.43582
915	32822.05992
916	32813.727
917	32809.07748
918	32796.33326
919	32787.89647
920	32780.63538
921	32766.08438
922	32754.66863
923	32743.04038
924	32730.95378
925	32721.19004
926	32715.97456
927	32704.90891
928	32695.38468
929	32683.16931
930	32678.33424
931	32665.83464
932	32660.56846
933	32653.45191
934	32644.09507
935	32628.24717
936	32618.25841
937	32606.10033
938	32593.86852
939	32579.73634
940	32567.90705
941	32555.56746
942	32547.83441
943	32542.12515
944	32531.06965
945	32514.50823
946	32507.24621
947	32498.6352
948	32486.56833
949	32481.48944
950	32470.24198
951	32459.37983
952	32452.56719
953	32441.26685
954	32433.54725
955	32427.98815
956	32419.30075
957	32409.32244
958	32398.44686
959	32393.14099
960	32385.75065
961	32375.81728
962	32364.09245
963	32359.77853
964	32351.58383
965	32343.47684
966	32324.71706
967	32317.4215
968	32308.17136
969	32295.51778
970	32280.82856
971	32266.14603
972	32253.34694
973	32245.9029
974	32240.54065
975	32229.28984
976	32221.75365
977	32217.55628
978	32199.49969
979	32191.75795
980	32179.55646
981	32169.26003
982	32159.65027
983	32147.84112
984	32142.96978
985	32137.76951
986	32127.75579
987	32120.22917
988	32112.75462
989	32107.06453
990	32096.79819
991	32084.06121
992	32075.46212
993	32067.82748
994	32059.8182
995	32055.27781
996	32050.18181
997	32045.32474
998	32035.03099
999	32024.04613
